Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\OAC1 Polycistronic Reprogrraming Compiled\OAC1 Polycistronic Reprogramming Combined\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,9/17/2014 2:19:36 PM,00:25:20,BIOMARKHD227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Version,4.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Build,20140110.1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Type,Heatmap Results : Inlet-based View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM-MGB Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
,,TET1,PHC1,MBD3,SNAI2,FOXD1,FOSB,CD44,GABRB3,SOX2,ZNF281,SP1,LEFTY1,SET,CBX7,UTF1,CDH2_NCAD,HNF4A,TGFBR2,DUSP10,ESRRB,MYC,ZFP42_REX1,TRIM28,CD48,CDKN1A,JMJD3,RNF2,LATS2,T,FGF2,LCK,KLF5,KLF4,NACC1,FBXO15,CD4,DNMT3L,EZH2,EED,SMARCC2,MyoD1,NODAL,CDH1,DPPA4,LEFTY2,RIF1,ETV5,CD3D,DNMT3B,KDM5A,JARID2,LOX,Sox1,Wnt3,Gata6,DPPA2,SALL1,NR0B1_DAX1,TCF3,PTPN6,USP16,SETD1A,HDAC2,LUM,SOX13,SMAD4,SEMA6A,GAL,SALL4,REST,HESX1,CCR7,PRDM14,JMJD2B,COL3A1,GREM1,TCL1A,DVL2,APOE,LRRN1,STAT3,OTX2,CCND1,STEMCCA-P2A,TET2,KAT7_Myst,TDGF1,Eomes,MASP1,KDR,GDF3,NANOG,ZIC3,LIN28A,POU5F1,GAPDH
1,Positive Control,21.1819133051,17.5529419716,25.9967987957,19.2305101415,21.5715758741,999,17.6683494423,20.0919023053,17.7971245987,20.923412612,21.4503232208,999,19.4026359806,26.0534723935,999,19.413467543,999,20.746745322,24.8205242392,24.6641571573,20.2862945589,19.1186497624,17.1343573826,999,18.8328272609,22.748689121,19.7080420688,22.7520662958,999,17.6144763448,22.3789973429,24.428834915,22.3312876935,19.2309625728,999,999,999,21.4771261616,22.361951576,20.5736197089,999,23.260252054,18.2639757331,999,999,20.5973702664,22.4129750527,999,16.4467999236,20.8972450625,19.2435956186,17.8045021444,999,999,999,999,20.9458693908,999,21.1119442347,23.6593289068,21.9122314419,20.9414381186,19.1949906364,17.5646696323,20.2024493084,20.3340472431,18.3112459203,21.3825667973,18.5621291692,19.942509567,23.5298684437,999,21.0995431439,27.2682750287,16.3319916846,17.6135231761,999,22.3511071715,19.3473215114,18.9790813252,19.0863080658,20.720409876,18.6188516039,999,23.5970857179,22.1886837891,17.4266986874,999,17.6319405671,21.7490245396,22.231180262,20.4696708409,21.3348842216,15.330000572,17.6347573496,13.7695403135
2,D7 SSEA4+ Tra1-60-  17,999,24.7812859971,999,21.6071631954,19.3967769791,999,18.526742695,999,999,23.3126375989,23.5482292128,999,22.3553067838,999,999,20.7546281558,999,21.9127633382,999,999,23.459698277,999,21.4004808721,999,19.584337388,22.6790468591,21.6261349641,25.88153032,999,21.5108779402,999,24.6001626418,23.4698156012,22.1899255545,999,999,999,999,999,22.6674626845,999,999,999,999,999,25.0395010623,25.4542584613,999,999,21.5922156571,21.8044443079,18.6528073005,999,999,999,999,25.748392205,999,27.1419631106,999,22.4913493324,24.6668560853,22.7049656424,21.3974957381,999,24.6643680648,999,999,999,999,999,999,999,999,18.2961502274,19.4228417374,999,999,999,999,24.0198503572,999,18.6827892811,17.4893545288,999,22.1992674791,999,999,21.6914662872,999,999,24.3063190371,999,999,999,15.6656781042
3,D7 SSEA4+ Tra1-60-  26,999,24.2133756449,999,19.6438752646,19.7923840247,999,18.5660438138,999,999,23.4371299017,22.110362767,999,20.6335188353,999,999,22.2871514463,999,21.8985674068,24.8492309135,999,21.8857814319,999,20.4301357863,999,21.0634218667,999,22.6956074205,22.5403567301,999,23.5722354848,999,999,21.848085907,21.0007925514,999,999,999,999,24.5131272726,20.4036497489,999,999,22.6507464376,999,999,23.6327171974,23.8993993297,999,999,24.9437714923,23.3883828778,19.2577302272,999,999,999,999,999,999,26.2616556876,999,22.7643730367,21.2699321478,22.7888430806,21.0844809596,999,22.731856896,999,24.0681452022,999,999,999,999,999,999,17.8183991482,999,999,22.4622077357,999,999,999,999,19.9077065445,17.331479423,25.5047462135,22.6572858059,999,999,20.9158684749,999,999,999,999,999,999,14.9343641911
4,D11 SSEA4+ Tra1-60-  1,999,22.2257151121,999,22.1764633073,999,999,22.2784492351,999,999,24.1243876495,23.7998230538,999,22.8549353828,999,999,25.1437885573,999,21.9398044952,999,999,21.2968846689,999,26.4429045823,999,22.3935904036,999,999,24.16716381,999,28.3065017539,999,24.3672870595,21.2816859657,24.5645005927,999,999,999,999,999,23.1743488917,999,999,23.7808733893,999,999,999,999,999,999,999,23.3555134172,21.4306267169,999,999,999,999,23.8127365289,999,26.4253886871,999,24.692405474,24.9883756779,25.347669982,21.6491763963,24.572500382,23.1355593565,999,999,23.3707575272,999,999,999,999,999,18.2582599279,999,999,999,22.4059884806,999,22.5365529309,999,20.5348397822,16.6431625565,23.4297117805,23.1714795051,999,999,22.0611904571,999,21.7640849968,22.914813719,999,999,999,17.5567770887
5,D11 SSEA4+ Tra1-60-  9,999,22.2293870574,999,22.7627658737,24.0915915485,999,22.7429853801,999,999,23.9633065839,24.2126110278,999,23.6916471786,999,999,999,999,999,999,999,21.912193466,999,22.7848826233,999,20.5792757398,999,23.4552735526,23.4158247172,999,999,999,25.1933629402,999,22.7552662856,999,999,999,999,999,22.5191737143,999,999,999,999,999,999,26.0186918176,999,999,25.0991424257,23.0473596478,21.8398864758,999,999,999,999,24.2311944971,999,999,999,22.269225474,23.289085775,24.8043480016,22.7335123358,23.4358148023,24.2780085942,999,999,21.6296492685,999,999,999,999,999,16.2772510906,999,999,999,24.7485519422,999,24.573635388,999,22.1897534311,17.023063398,999,23.4656070578,999,999,24.1045535525,999,999,999,999,999,999,17.5653608707
6,D11 SSEA4+ Tra1-60-  17,999,22.9414432631,999,22.579048762,21.614142609,999,18.5435932576,999,999,23.4523686515,999,999,22.3437215256,999,999,999,999,22.0448676248,999,999,21.9781426649,999,23.7503791405,999,18.2819575677,999,21.5534052595,999,999,999,999,25.7630653066,999,22.8023512799,999,999,999,999,999,22.6843630596,999,999,22.68772159,999,999,22.7714452461,23.3469072705,999,999,23.0904049024,999,20.3088712538,999,999,999,999,22.1058048195,999,999,999,23.7748894672,22.2870968028,22.7068639622,19.4878763347,999,22.3357519636,999,999,999,999,999,999,999,999,16.0749649021,999,999,999,999,999,22.3385429771,999,19.5255166653,16.692279995,24.4961680187,21.5363231847,999,999,999,999,23.0322118958,26.3019334646,999,999,999,16.2951751768
7,D14 SSEA4+ Tra1-60-  1,999,999,999,999,23.5802694312,999,20.3943202775,999,22.0396432666,24.8258381402,23.2064873931,999,20.1919462653,999,23.0194970098,21.3950562529,999,999,999,999,22.3782168854,999,21.5075972603,999,24.0394564049,999,21.3451646865,23.0682716385,999,24.4024863055,999,23.3563722506,22.8188677739,23.2885880149,999,999,22.4592712164,999,999,25.3375805538,999,999,20.0332929623,999,20.3655635574,21.7399591758,999,999,23.0697289682,24.665292031,21.5646023879,23.7450672222,999,999,999,999,23.6629697941,999,999,999,21.3247041799,22.1570663869,22.0368614692,999,999,999,19.736473873,24.6919352666,22.2591415658,999,999,999,20.7505185406,999,999,999,999,25.750439189,999,999,21.4768108777,999,20.8864346365,16.1379016063,22.4680712015,24.1504463038,21.1765562254,999,999,999,22.8527517411,21.2352538966,28.9096449044,23.6076516702,17.7297647154,16.2048509176
8,D14 SSEA4+ Tra1-60-  11,999,21.0777313858,999,999,23.6256960301,999,25.3663732937,999,21.8689573081,25.2781415878,26.8782532401,27.2682412988,21.7983064255,999,21.7254055522,23.8598329364,999,999,999,999,22.9127759178,21.8205308806,21.6186708829,999,999,999,21.8294959767,24.4549828777,999,999,999,999,999,23.767642561,999,999,999,999,999,23.3827468873,999,28.3939235713,21.4815975581,999,22.3275504075,999,999,999,21.5605024453,999,24.9780390481,999,999,999,999,23.6951543537,999,999,999,999,22.1925890075,21.4544670915,23.7008551246,999,999,24.9369406974,21.1080769295,23.8815108061,23.1116977245,999,999,999,21.0903329734,999,999,999,999,26.6687478755,22.6355600464,23.7425004949,21.2254336205,25.506463996,24.1820043942,16.7721889532,23.7867025178,23.2009404433,21.4107662283,999,999,999,22.4601208867,21.5070442465,999,999,18.0703114753,17.2404624444
9,D14 SSEA4+ Tra1-60-  19,999,24.4811027548,999,999,999,999,21.8439316072,999,999,24.5282076549,23.3725293773,999,21.899903305,999,22.5393559586,22.932389581,25.1637003033,25.8908250143,999,999,22.5662303788,22.987309004,21.6780034175,23.5491486707,999,999,20.8896276938,25.9188125494,999,999,999,24.9548559716,24.0029947199,22.9249345825,999,999,999,999,999,22.3120909435,999,999,23.0182531524,999,999,23.0228811826,25.6815940074,999,23.7000759045,999,21.4930429073,999,999,999,21.7291040829,999,24.2862085801,999,25.2329364368,999,21.291618837,22.1713274312,23.6616892729,999,999,22.7814125983,999,999,23.9045573064,999,999,999,999,999,23.0584650949,999,999,26.5765652778,23.8547647895,999,999,999,22.2344950257,16.9808890352,24.6001850786,23.659956809,23.2180073488,999,999,23.8312231305,23.0795323214,22.9310352034,999,999,18.2548894887,17.0766872428
